good	[adjective] (of people) ; [adjective] (of capabilities) ; [adjective] (properties and qualities) ; [adjective] (when with and) Very, extremely. See good and. (e.g. The soup is good and hot.) ; [adjective] Holy (especially when capitalized) . (e.g. Good Friday) ; [adjective] (of quantities) ; [interjection] That is good; an elliptical exclamation of satisfaction or commendation. (e.g. Good! I can leave now.)	好的
phonetic	[noun] In such writing systems as the Chinese writing system, the portion of a phono-semantic character that provides an indication of its pronunciation; contrasted with semantic (which is usually the radical). ; [adjective] Relating to the sounds of spoken language. ; [adjective] Relating to phones (as opposed to phonemes)	语音的
wonderful	[adjective] Tending to excite wonder; surprising, extraordinary. ; [adjective] Surprisingly excellent; very good or admirable, extremely impressive. (e.g. They served a wonderful six-course meal.) ; [adverb] Exceedingly, to a great extent.	
credible	[adjective] Believable or plausible. ; [adjective] Authentic or convincing.	可信的
qualitative	[noun] Something qualitative. ; [adjective] Of descriptions or distinctions based on some quality rather than on some quantity. ; [adjective] Of a form of analysis that yields the identity of a compound.	定性的
qualitative	[noun] Something qualitative. ; [adjective] Of descriptions or distinctions based on some quality rather than on some quantity. ; [adjective] Of a form of analysis that yields the identity of a compound.	定性的
newspaper	[noun] A publication, usually published daily or weekly and usually printed on cheap, low-quality paper, containing news and other articles. ; [noun] A quantity of or one of the types of paper on which newspapers are printed. ; [verb] To cover with newspaper. (e.g. She newspapered one end of the room before painting the bookcase.) ; [verb] To engage in the business of journalism (usually used only in the gerund, newspapering) (e.g. He newspapered his way through the South on the sports beat, avoiding dry towns.) ; [verb] To harass in newspaper articles. (e.g. He was newspapered out of public life.)	报纸
international	[noun] Someone who has represented their country in a particular sport. (e.g. The United team includes five England internationals.) ; [noun] A game or contest between two or more nations. ; [noun] A transnational organization of political parties of similar ideology. ; [adjective] Of or having to do with more than one nation. ; [adjective] Between or among nations (e.g. an international discussion) ; [adjective] Participated in by two or more nations (e.g. an international competition) ; [adjective] Common to, or affecting, two or more nations. (e.g. an international rule) ; [adjective] Serving two or more nations (e.g. an international airport) ; [adjective] Of or concerning the association called the International. ; [adjective] Independent of national boundaries; common to all people. (e.g. The atmosphere is an international resource.) ; [adjective] Foreign; of another nation. (e.g. an international student)	国际的
catastrophe	[noun] Any large and disastrous event of great significance ; [noun] A disaster beyond expectations ; [noun] The dramatic event that initiates the resolution of the plot; the dénouement ; [noun] A type of bifurcation, where a system shifts between two stable states	灾难
artificial	[adjective] Man-made; of artifice. (e.g. The flowers were artificial, and he thought them rather tacky.) ; [adjective] False, misleading. (e.g. Her manner was somewhat artificial.) ; [adjective] Unnatural.	人造的
value	[noun] The quality (positive or negative) that renders something desirable or valuable. (e.g. The Shakespearean Shylock is of dubious value in the modern world.) ; [noun] The degree of importance given to something. (e.g. The value of my children's happiness is second only to that of my wife.) ; [noun] That which is valued or highly esteemed, such as one's morals, morality, or belief system. (e.g. He does not share his parents' values.) ; [noun] The amount (of money or goods or services) that is considered to be a fair equivalent for something else. ; [noun] The relative duration of a musical note. (e.g. The value of a crotchet is twice that of a quaver.) ; [noun] The relative darkness or lightness of a color in (a specific area of) a painting etc. ; [noun] Any definite numerical quantity or other mathematical object, determined by being measured, computed, or otherwise defined. (e.g. The exact value of pi cannot be represented in decimal notation.) ; [noun] Precise meaning; import. (e.g. the value of a word; the value of a legal instrument) ; [noun] (in the plural) The valuable ingredients to be obtained by treating a mass or compound; specifically, the precious metals contained in rock, gravel, etc. (e.g. The vein carries good values.) ; [noun] Esteem; regard. ; [noun] Valour; also spelled valew. ; [verb] To estimate the value of; judge the worth of something. (e.g. I will have the family jewels valued by a professional.) ; [verb] To fix or determine the value of; assign a value to, as of jewelry or art work. ; [verb] To regard highly; think much of; place importance upon. (e.g. Gold was valued highly among the Romans.) ; [verb] To hold dear. (e.g. I value these old photographs.)	价值
